date,day_index,product_id,product_name,category,subcategory,day_of_week,demand,pre_orders,store_open_tomorrow,store_open_day_after,holiday_tomorrow,holiday_day_after,is_promo,unit_price,unit_cost,weather_temp,weather_rain,shelf_life_days,lead_time_days,moq
2025-12-01,0,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,369,79,1,1,0,0,1,2.79,1.8,17.3,1,5,1,20
2025-12-02,1,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,266,78,1,1,0,0,1,2.79,1.8,19.5,1,5,1,20
2025-12-03,2,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,254,55,1,1,0,0,1,2.79,1.8,15.7,1,5,1,20
2025-12-04,3,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,198,45,1,1,0,0,1,2.79,1.8,17.4,0,5,1,20
2025-12-05,4,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,179,42,1,1,0,0,0,3.49,1.8,15.2,0,5,1,20
2025-12-08,5,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,171,42,1,1,0,0,0,3.49,1.8,20.5,1,5,1,20
2025-12-09,6,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,129,27,1,1,0,0,0,3.49,1.8,16.8,0,5,1,20
2025-12-10,7,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,120,29,1,1,0,0,0,3.49,1.8,17.0,0,5,1,20
2025-12-11,8,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,137,39,1,1,0,0,0,3.49,1.8,18.5,1,5,1,20
2025-12-12,9,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,148,37,1,1,0,0,0,3.49,1.8,20.5,0,5,1,20
2025-12-15,10,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,167,46,1,1,0,0,0,3.49,1.8,16.5,0,5,1,20
2025-12-16,11,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,141,30,1,1,0,0,0,3.49,1.8,20.9,1,5,1,20
2025-12-17,12,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,120,27,1,1,0,0,0,3.49,1.8,19.5,0,5,1,20
2025-12-18,13,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,164,41,1,1,0,0,0,3.49,1.8,19.1,0,5,1,20
2025-12-19,14,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,179,53,1,1,0,0,0,3.49,1.8,20.9,1,5,1,20
2025-12-22,15,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,190,53,1,1,0,0,0,3.49,1.8,19.2,1,5,1,20
2025-12-23,16,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,142,29,1,1,0,1,0,3.49,1.8,22.8,0,5,1,20
2025-12-24,17,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,163,42,1,0,1,1,0,3.49,1.8,19.4,0,5,1,20
2025-12-25,18,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,281,65,0,1,1,0,0,3.49,1.8,20.3,0,5,1,20
2025-12-26,19,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,0,0,1,1,0,0,0,3.49,1.8,23.1,0,5,1,20
2025-12-29,20,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,353,90,1,1,0,0,1,2.79,1.8,22.5,0,5,1,20
2025-12-30,21,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,272,66,1,1,0,0,1,2.79,1.8,21.9,0,5,1,20
2025-12-31,22,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,121,30,1,1,0,0,0,3.49,1.8,22.3,0,5,1,20
2026-01-01,23,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,153,42,1,1,0,0,0,3.49,1.8,21.9,0,5,1,20
2026-01-02,24,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,165,46,1,1,0,0,0,3.49,1.8,20.9,0,5,1,20
2026-01-05,25,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,172,37,1,1,0,0,0,3.49,1.8,24.6,0,5,1,20
2026-01-06,26,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,144,41,1,1,0,0,0,3.49,1.8,23.1,0,5,1,20
2026-01-07,27,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,131,31,1,1,0,0,0,3.49,1.8,21.7,1,5,1,20
2026-01-08,28,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,164,41,1,1,0,0,0,3.49,1.8,23.8,1,5,1,20
2026-01-09,29,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,180,42,1,1,0,0,0,3.49,1.8,20.5,1,5,1,20
2026-01-12,30,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,174,47,1,1,0,0,0,3.49,1.8,23.1,0,5,1,20
2026-01-13,31,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,128,28,1,1,0,0,0,3.49,1.8,24.1,0,5,1,20
2026-01-14,32,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,126,25,1,1,0,0,0,3.49,1.8,19.8,0,5,1,20
2026-01-15,33,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,208,47,1,1,0,0,0,3.49,1.8,23.9,1,5,1,20
2026-01-16,34,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,198,49,1,1,0,0,0,3.49,1.8,23.4,1,5,1,20
2026-01-19,35,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,197,53,1,1,0,0,0,3.49,1.8,26.2,1,5,1,20
2026-01-20,36,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,193,48,1,1,0,0,1,2.79,1.8,26.7,0,5,1,20
2026-01-21,37,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,229,59,1,1,0,0,1,2.79,1.8,22.0,1,5,1,20
2026-01-22,38,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,268,58,1,1,0,0,1,2.79,1.8,20.9,0,5,1,20
2026-01-23,39,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,375,80,1,1,0,0,1,2.79,1.8,22.2,0,5,1,20
2026-01-26,40,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,161,46,1,1,0,0,0,3.49,1.8,22.4,0,5,1,20
2026-01-27,41,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,111,28,1,1,0,0,0,3.49,1.8,25.6,0,5,1,20
2026-01-28,42,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,141,40,1,1,0,0,0,3.49,1.8,20.7,1,5,1,20
2026-01-29,43,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,164,38,1,1,0,1,0,3.49,1.8,24.4,0,5,1,20
2026-01-30,44,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,249,69,1,1,1,0,0,3.49,1.8,24.9,0,5,1,20
2026-02-02,45,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,187,54,1,1,0,0,0,3.49,1.8,22.4,1,5,1,20
2026-02-03,46,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,130,28,1,1,0,0,0,3.49,1.8,24.3,1,5,1,20
2026-02-04,47,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,136,30,1,1,0,0,0,3.49,1.8,27.4,0,5,1,20
2026-02-05,48,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,164,45,1,1,0,0,0,3.49,1.8,21.6,0,5,1,20
2026-02-06,49,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,188,48,1,1,0,0,0,3.49,1.8,25.3,0,5,1,20
2026-02-09,50,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,154,34,1,1,0,0,0,3.49,1.8,22.8,0,5,1,20
2026-02-10,51,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,137,36,1,1,0,0,0,3.49,1.8,23.0,0,5,1,20
2026-02-11,52,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,152,37,1,1,0,0,0,3.49,1.8,23.0,0,5,1,20
2026-02-12,53,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,135,27,1,1,0,0,0,3.49,1.8,24.1,0,5,1,20
2026-02-13,54,PROD_001,Roma Tomatoes (1kg),Food,Produce,4,339,100,1,1,0,0,1,2.79,1.8,20.5,0,5,1,20
2026-02-16,55,PROD_001,Roma Tomatoes (1kg),Food,Produce,0,355,103,1,1,0,0,1,2.79,1.8,22.0,1,5,1,20
2026-02-17,56,PROD_001,Roma Tomatoes (1kg),Food,Produce,1,234,66,1,1,0,0,1,2.79,1.8,23.2,0,5,1,20
2026-02-18,57,PROD_001,Roma Tomatoes (1kg),Food,Produce,2,189,43,1,1,0,0,1,2.79,1.8,20.4,0,5,1,20
2026-02-19,58,PROD_001,Roma Tomatoes (1kg),Food,Produce,3,129,34,1,1,0,0,0,3.49,1.8,22.3,0,5,1,20
