Date,Item Name,Category,Quantity Sold,Unit Retail Price,Unit Cost,Current Inventory
2026-06-01,Organic Avocados 4-pack,Food,145,4.99,2.50,180
2026-06-02,Organic Avocados 4-pack,Food,132,4.99,2.50,150
2026-06-03,Organic Avocados 4-pack,Food,128,4.99,2.50,120
2026-06-04,Organic Avocados 4-pack,Food,160,4.99,2.50,90
2026-06-05,Organic Avocados 4-pack,Food,195,4.99,2.50,60
2026-06-01,Cold Pressed Detox Green Juice,Beverage,85,5.49,3.10,95
2026-06-02,Cold Pressed Detox Green Juice,Beverage,78,5.49,3.10,75
2026-06-03,Cold Pressed Detox Green Juice,Beverage,82,5.49,3.10,60
2026-06-04,Cold Pressed Detox Green Juice,Beverage,110,5.49,3.10,40
2026-06-05,Cold Pressed Detox Green Juice,Beverage,140,5.49,3.10,20
2026-06-01,Artisan Rosemary Sourdough,Food,90,4.75,2.10,70
2026-06-02,Artisan Rosemary Sourdough,Food,80,4.75,2.10,55
2026-06-03,Artisan Rosemary Sourdough,Food,75,4.75,2.10,40
2026-06-04,Artisan Rosemary Sourdough,Food,98,4.75,2.10,25
2026-06-05,Artisan Rosemary Sourdough,Food,130,4.75,2.10,15
2026-06-01,Electrolyte Hydration Drink 500ml,Beverage,120,2.99,1.30,150
2026-06-02,Electrolyte Hydration Drink 500ml,Beverage,115,2.99,1.30,130
2026-06-03,Electrolyte Hydration Drink 500ml,Beverage,110,2.99,1.30,110
2026-06-04,Electrolyte Hydration Drink 500ml,Beverage,145,2.99,1.30,85
2026-06-05,Electrolyte Hydration Drink 500ml,Beverage,180,2.99,1.30,50
