product_id,product_name,category,order_day,forecast_units,safety_stock_buffer,beginning_stock,recommended_order_quantity,unit_cost,estimated_order_cost,shelf_life_days,spoilage_risk
PROD_001,PROD_001,Food,Tuesday,9.2,1,5,5,2.16,10.8,5,False
PROD_001,PROD_001,Food,Wednesday,9.0,1,1,10,2.16,21.6,5,False
PROD_001,PROD_001,Food,Thursday,10.5,2,2,15,2.16,32.4,5,False
PROD_001,PROD_001,Food,Friday,12.5,2,6,10,2.16,21.6,5,False
PROD_002,PROD_002,Food,Monday,11.8,2,10,5,1.86,9.3,5,False
PROD_002,PROD_002,Food,Tuesday,9.2,1,3,10,1.86,18.6,5,False
PROD_002,PROD_002,Food,Wednesday,9.0,1,4,10,1.86,18.6,5,False
PROD_002,PROD_002,Food,Thursday,10.5,2,5,10,1.86,18.6,5,False
PROD_002,PROD_002,Food,Friday,12.5,2,4,10,1.86,18.6,5,False
PROD_003,PROD_003,Food,Monday,11.8,2,12,5,2.67,13.35,5,False
PROD_003,PROD_003,Food,Tuesday,9.2,1,5,5,2.67,13.35,5,False
PROD_003,PROD_003,Food,Wednesday,9.0,1,1,10,2.67,26.7,5,False
PROD_003,PROD_003,Food,Thursday,10.5,2,2,15,2.67,40.05,5,False
PROD_003,PROD_003,Food,Friday,12.5,2,6,10,2.67,26.7,5,False
PROD_004,PROD_004,Food,Monday,11.8,2,13,5,2.13,10.65,5,False
PROD_004,PROD_004,Food,Tuesday,9.2,1,6,5,2.13,10.65,5,False
PROD_004,PROD_004,Food,Wednesday,9.0,1,2,10,2.13,21.3,5,False
PROD_004,PROD_004,Food,Thursday,10.5,2,3,10,2.13,21.3,5,False
PROD_004,PROD_004,Food,Friday,12.5,2,2,15,2.13,31.95,5,False
PROD_005,PROD_005,Food,Tuesday,9.2,1,2,10,1.64,16.4,5,False
PROD_005,PROD_005,Food,Wednesday,9.0,1,3,10,1.64,16.4,5,False
PROD_005,PROD_005,Food,Thursday,10.5,2,4,10,1.64,16.4,5,False
PROD_005,PROD_005,Food,Friday,12.5,2,3,15,1.64,24.6,5,False
PROD_006,PROD_006,Food,Monday,11.8,2,9,5,2.92,14.6,5,False
PROD_006,PROD_006,Food,Tuesday,9.2,1,2,10,2.92,29.2,5,False
PROD_006,PROD_006,Food,Wednesday,9.0,1,3,10,2.92,29.2,5,False
PROD_006,PROD_006,Food,Thursday,10.5,2,4,10,2.92,29.2,5,False
PROD_006,PROD_006,Food,Friday,12.5,2,3,15,2.92,43.8,5,False
