product_id,product_name,category,order_day,forecast_units,safety_stock_buffer,beginning_stock,recommended_order_quantity,unit_cost,estimated_order_cost,shelf_life_days,spoilage_risk
PROD_002,Organic Whole Milk (1L),Food,Monday,396.6,78,71,450,1.2,540.0,7,False
PROD_002,Organic Whole Milk (1L),Food,Tuesday,309.2,61,124,250,1.2,300.0,7,False
PROD_002,Organic Whole Milk (1L),Food,Wednesday,302.5,59,65,300,1.2,360.0,7,False
PROD_002,Organic Whole Milk (1L),Food,Thursday,352.9,69,62,400,1.2,480.0,7,False
PROD_002,Organic Whole Milk (1L),Food,Friday,420.1,82,109,400,1.2,480.0,7,False
PROD_003,Artisan Sourdough Loaf,Food,Monday,109.7,21,19,120,2.0,240.0,3,False
PROD_003,Artisan Sourdough Loaf,Food,Tuesday,85.6,16,29,75,2.0,150.0,3,False
PROD_003,Artisan Sourdough Loaf,Food,Wednesday,83.7,16,18,90,2.0,180.0,3,False
PROD_003,Artisan Sourdough Loaf,Food,Thursday,97.7,19,25,105,2.0,210.0,3,False
PROD_003,Artisan Sourdough Loaf,Food,Friday,116.2,22,32,120,2.0,240.0,3,False
PROD_004,Hass Avocados (Pack of 4),Food,Monday,178.8,35,33,200,2.7,540.0,4,False
PROD_004,Hass Avocados (Pack of 4),Food,Tuesday,139.4,27,54,125,2.7,337.5,4,False
PROD_004,Hass Avocados (Pack of 4),Food,Wednesday,136.3,26,39,125,2.7,337.5,4,False
PROD_004,Hass Avocados (Pack of 4),Food,Thursday,159.1,31,28,175,2.7,472.5,4,False
PROD_004,Hass Avocados (Pack of 4),Food,Friday,189.4,37,44,200,2.7,540.0,4,False
PROD_005,Organic Bananas (1kg),Food,Monday,355.5,70,45,405,0.9,364.5,4,False
PROD_005,Organic Bananas (1kg),Food,Tuesday,277.2,54,94,270,0.9,243.0,4,False
PROD_005,Organic Bananas (1kg),Food,Wednesday,271.2,53,87,270,0.9,243.0,4,False
PROD_005,Organic Bananas (1kg),Food,Thursday,316.4,62,86,315,0.9,283.5,4,False
PROD_005,Organic Bananas (1kg),Food,Friday,376.6,74,84,405,0.9,364.5,4,False
PROD_006,Free-Range Chicken Breast (500g),Food,Monday,131.2,25,32,135,4.2,567.0,4,False
PROD_006,Free-Range Chicken Breast (500g),Food,Tuesday,102.3,20,35,90,4.2,378.0,4,False
PROD_006,Free-Range Chicken Breast (500g),Food,Wednesday,100.1,19,23,105,4.2,441.0,4,False
PROD_006,Free-Range Chicken Breast (500g),Food,Thursday,116.8,23,28,120,4.2,504.0,4,False
PROD_006,Free-Range Chicken Breast (500g),Food,Friday,139.0,27,31,135,4.2,567.0,4,False
PROD_007,Fresh Strawberries (400g),Food,Monday,181.4,35,48,175,2.1,367.5,3,False
PROD_007,Fresh Strawberries (400g),Food,Tuesday,141.4,27,41,150,2.1,315.0,3,False
PROD_007,Fresh Strawberries (400g),Food,Wednesday,138.3,27,50,125,2.1,262.5,3,False
PROD_007,Fresh Strawberries (400g),Food,Thursday,161.4,31,36,175,2.1,367.5,3,False
PROD_007,Fresh Strawberries (400g),Food,Friday,192.1,37,50,200,2.1,420.0,3,False
PROD_008,Authentic Greek Yogurt (500g),Food,Monday,241.7,47,57,240,1.6,384.0,12,False
PROD_008,Authentic Greek Yogurt (500g),Food,Tuesday,188.4,37,55,180,1.6,288.0,12,False
PROD_008,Authentic Greek Yogurt (500g),Food,Wednesday,184.3,36,46,180,1.6,288.0,12,False
PROD_008,Authentic Greek Yogurt (500g),Food,Thursday,215.0,42,42,240,1.6,384.0,12,False
PROD_008,Authentic Greek Yogurt (500g),Food,Friday,256.0,50,67,240,1.6,384.0,12,False
PROD_009,Baby Spinach (200g),Food,Monday,213.2,42,34,225,1.1,247.5,4,False
PROD_009,Baby Spinach (200g),Food,Tuesday,166.2,32,45,175,1.1,192.5,4,False
PROD_009,Baby Spinach (200g),Food,Wednesday,162.6,32,54,150,1.1,165.0,4,False
PROD_009,Baby Spinach (200g),Food,Thursday,189.7,37,42,200,1.1,220.0,4,False
PROD_009,Baby Spinach (200g),Food,Friday,225.9,44,52,225,1.1,247.5,4,False
PROD_010,Pasture-Raised Eggs (Dozen),Food,Monday,264.2,52,55,280,2.6,728.0,21,False
PROD_010,Pasture-Raised Eggs (Dozen),Food,Tuesday,206.0,40,70,210,2.6,546.0,21,False
PROD_010,Pasture-Raised Eggs (Dozen),Food,Wednesday,201.5,39,74,175,2.6,455.0,21,False
PROD_010,Pasture-Raised Eggs (Dozen),Food,Thursday,235.1,46,48,245,2.6,637.0,21,False
PROD_010,Pasture-Raised Eggs (Dozen),Food,Friday,279.9,55,58,280,2.6,728.0,21,False
PROD_011,Atlantic Salmon Fillet (400g),Food,Monday,87.0,17,13,100,6.5,650.0,3,False
PROD_011,Atlantic Salmon Fillet (400g),Food,Tuesday,67.8,13,26,60,6.5,390.0,3,False
PROD_011,Atlantic Salmon Fillet (400g),Food,Wednesday,66.3,13,18,70,6.5,455.0,3,False
PROD_011,Atlantic Salmon Fillet (400g),Food,Thursday,77.4,15,21,80,6.5,520.0,3,False
PROD_011,Atlantic Salmon Fillet (400g),Food,Friday,92.1,18,24,90,6.5,585.0,3,False
PROD_012,Aged Cheddar Cheese (250g),Food,Monday,95.8,18,25,90,2.3,207.0,30,False
PROD_012,Aged Cheddar Cheese (250g),Food,Tuesday,74.7,14,19,70,2.3,161.0,30,False
PROD_012,Aged Cheddar Cheese (250g),Food,Wednesday,73.1,14,14,80,2.3,184.0,30,False
PROD_012,Aged Cheddar Cheese (250g),Food,Thursday,85.3,16,21,80,2.3,184.0,30,False
PROD_012,Aged Cheddar Cheese (250g),Food,Friday,101.5,20,16,110,2.3,253.0,30,False
PROD_013,Red Bell Peppers (3-pack),Food,Monday,145.7,28,38,140,1.5,210.0,6,False
PROD_013,Red Bell Peppers (3-pack),Food,Tuesday,113.6,22,32,120,1.5,180.0,6,False
PROD_013,Red Bell Peppers (3-pack),Food,Wednesday,111.2,21,38,100,1.5,150.0,6,False
PROD_013,Red Bell Peppers (3-pack),Food,Thursday,129.7,25,27,140,1.5,210.0,6,False
PROD_013,Red Bell Peppers (3-pack),Food,Friday,154.4,30,37,160,1.5,240.0,6,False
PROD_014,Fresh Broccoli Crowns (500g),Food,Monday,221.7,43,36,240,1.05,252.0,5,False
PROD_014,Fresh Broccoli Crowns (500g),Food,Tuesday,172.9,34,54,180,1.05,189.0,5,False
PROD_014,Fresh Broccoli Crowns (500g),Food,Wednesday,169.1,33,61,150,1.05,157.5,5,False
PROD_014,Fresh Broccoli Crowns (500g),Food,Thursday,197.3,38,42,210,1.05,220.5,5,False
PROD_014,Fresh Broccoli Crowns (500g),Food,Friday,234.9,46,55,240,1.05,252.0,5,False
PROD_015,Royal Gala Apples (1.5kg),Food,Monday,247.8,48,51,270,1.95,526.5,14,False
PROD_015,Royal Gala Apples (1.5kg),Food,Tuesday,193.2,38,73,180,1.95,351.0,14,False
PROD_015,Royal Gala Apples (1.5kg),Food,Wednesday,189.0,37,60,180,1.95,351.0,14,False
PROD_015,Royal Gala Apples (1.5kg),Food,Thursday,220.5,43,51,240,1.95,468.0,14,False
PROD_015,Royal Gala Apples (1.5kg),Food,Friday,262.5,51,70,270,1.95,526.5,14,False
PROD_016,Salted Butter (250g),Food,Monday,170.3,33,43,180,1.5,270.0,45,False
PROD_016,Salted Butter (250g),Food,Tuesday,132.8,26,52,120,1.5,180.0,45,False
PROD_016,Salted Butter (250g),Food,Wednesday,129.9,25,39,120,1.5,180.0,45,False
PROD_016,Salted Butter (250g),Food,Thursday,151.5,29,29,160,1.5,240.0,45,False
PROD_016,Salted Butter (250g),Food,Friday,180.4,35,38,180,1.5,270.0,45,False
PROD_017,Whole Grain Sandwich Bread,Food,Monday,196.1,38,26,225,1.15,258.75,5,False
PROD_017,Whole Grain Sandwich Bread,Food,Tuesday,152.9,30,54,150,1.15,172.5,5,False
PROD_017,Whole Grain Sandwich Bread,Food,Wednesday,149.6,29,52,150,1.15,172.5,5,False
PROD_017,Whole Grain Sandwich Bread,Food,Thursday,174.5,34,52,175,1.15,201.25,5,False
PROD_017,Whole Grain Sandwich Bread,Food,Friday,207.8,40,52,200,1.15,230.0,5,False
PROD_018,Grass-Fed Ground Beef (500g),Food,Monday,118.8,23,23,120,3.8,456.0,4,False
PROD_018,Grass-Fed Ground Beef (500g),Food,Tuesday,92.6,18,24,90,3.8,342.0,4,False
PROD_018,Grass-Fed Ground Beef (500g),Food,Wednesday,90.6,17,21,90,3.8,342.0,4,False
PROD_018,Grass-Fed Ground Beef (500g),Food,Thursday,105.7,20,21,105,3.8,399.0,4,False
PROD_018,Grass-Fed Ground Beef (500g),Food,Friday,125.9,24,20,135,3.8,513.0,4,False
PROD_019,Fresh Blueberries (250g),Food,Monday,149.0,29,31,160,2.4,384.0,4,False
PROD_019,Fresh Blueberries (250g),Food,Tuesday,116.2,22,42,100,2.4,240.0,4,False
PROD_019,Fresh Blueberries (250g),Food,Wednesday,113.7,22,25,120,2.4,288.0,4,False
PROD_019,Fresh Blueberries (250g),Food,Thursday,132.6,26,32,140,2.4,336.0,4,False
PROD_019,Fresh Blueberries (250g),Food,Friday,157.9,31,39,160,2.4,384.0,4,False
PROD_020,Seedless Cucumbers (2-pack),Food,Monday,219.5,43,50,240,0.95,228.0,6,False
PROD_020,Seedless Cucumbers (2-pack),Food,Tuesday,171.1,33,70,150,0.95,142.5,6,False
PROD_020,Seedless Cucumbers (2-pack),Food,Wednesday,167.4,33,49,180,0.95,171.0,6,False
PROD_020,Seedless Cucumbers (2-pack),Food,Thursday,195.3,38,62,180,0.95,171.0,6,False
PROD_020,Seedless Cucumbers (2-pack),Food,Friday,232.5,45,46,240,0.95,228.0,6,False
PROD_021,Fresh Mushrooms (300g),Food,Monday,148.4,29,22,160,1.35,216.0,4,False
PROD_021,Fresh Mushrooms (300g),Food,Tuesday,115.7,22,33,120,1.35,162.0,4,False
PROD_021,Fresh Mushrooms (300g),Food,Wednesday,113.2,22,37,100,1.35,135.0,4,False
PROD_021,Fresh Mushrooms (300g),Food,Thursday,132.1,26,24,140,1.35,189.0,4,False
PROD_021,Fresh Mushrooms (300g),Food,Friday,157.2,31,32,160,1.35,216.0,4,False
PROD_022,Organic Carrots (1kg),Food,Monday,162.8,32,37,160,0.75,120.0,18,False
PROD_022,Organic Carrots (1kg),Food,Tuesday,127.0,25,34,120,0.75,90.0,18,False
PROD_022,Organic Carrots (1kg),Food,Wednesday,124.2,24,27,140,0.75,105.0,18,False
PROD_022,Organic Carrots (1kg),Food,Thursday,144.9,28,42,140,0.75,105.0,18,False
PROD_022,Organic Carrots (1kg),Food,Friday,172.5,34,38,180,0.75,135.0,18,False
PROD_023,Fresh Mozzarella Ball (200g),Food,Monday,98.3,19,22,105,1.9,199.5,10,False
PROD_023,Fresh Mozzarella Ball (200g),Food,Tuesday,76.6,15,28,75,1.9,142.5,10,False
PROD_023,Fresh Mozzarella Ball (200g),Food,Wednesday,75.0,14,27,75,1.9,142.5,10,False
PROD_023,Fresh Mozzarella Ball (200g),Food,Thursday,87.5,17,27,90,1.9,171.0,10,False
PROD_023,Fresh Mozzarella Ball (200g),Food,Friday,104.1,20,29,105,1.9,199.5,10,False
PROD_024,Yellow Onions (2kg bag),Food,Monday,194.8,38,51,200,1.0,200.0,30,False
PROD_024,Yellow Onions (2kg bag),Food,Tuesday,151.9,29,56,125,1.0,125.0,30,False
PROD_024,Yellow Onions (2kg bag),Food,Wednesday,148.6,29,29,150,1.0,150.0,30,False
PROD_024,Yellow Onions (2kg bag),Food,Thursday,173.4,34,30,200,1.0,200.0,30,False
PROD_024,Yellow Onions (2kg bag),Food,Friday,206.4,40,57,200,1.0,200.0,30,False
PROD_025,Russet Potatoes (2.5kg),Food,Monday,236.4,46,72,240,1.4,336.0,25,False
